"date","hour","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"2016-07-01","0","1000.4000","1005.3000","225.0000","2.1000","26.4000","94.0000","0.0000"
"2016-07-01","3","1000.5000","1005.3000","187.0000","2.7000","29.0000","76.0000","0.0000"
"2016-07-01","6","998.9000","1003.7000","212.0000","2.9000","31.7000","67.0000","0.0000"
"2016-07-01","9","998.7000","1003.5000","244.0000","2.7000","31.6000","59.0000","0.0000"
"2016-07-01","12","999.7000","1004.5000","222.0000","1.3000","29.9000","68.0000","0.0000"
"2016-07-01","15","1000.0000","1004.8000","102.0000","1.6000","27.8000","82.0000","0.0000"
"2016-07-01","18","998.8000","1003.6000","202.0000","1.9000","26.0000","89.0000","0.0000"
"2016-07-01","21","1000.2000","1005.0000","334.0000","2.2000","25.5000","90.0000","0.0000"
"2016-07-02","0","1001.6000","1006.4000","315.0000","1.8000","26.8000","82.0000","0.0000"
"2016-07-02","3","1002.4000","1007.2000","46.0000","3.2000","30.0000","70.0000","0.0000"
"2016-07-02","6","1001.3000","1006.2000","37.0000","2.2000","29.3000","80.0000","1.0000"
"2016-07-02","9","1001.9000","1006.8000","345.0000","2.4000","25.9000","95.0000","10.2000"
"2016-07-02","12","1003.6000","1008.5000","113.0000","1.0000","25.1000","94.0000","0.2000"
"2016-07-02","15","1002.4000","1007.3000","138.0000","1.0000","25.3000","96.0000","0.0000"
"2016-07-02","18","1000.9000","1005.8000","221.0000","0.7000","25.4000","96.0000","0.0000"
"2016-07-02","21","1000.9000","1005.8000","999017.0000","0.1000","25.2000","98.0000","0.0000"
"2016-07-03","0","1001.5000","1006.4000","220.0000","1.5000","25.8000","97.0000","0.0000"
"2016-07-03","3","1001.5000","1006.4000","200.0000","1.6000","27.0000","93.0000","0.1000"
"2016-07-03","6","1000.8000","1005.7000","207.0000","1.8000","27.4000","92.0000","0.0000"
"2016-07-03","9","1000.8000","1005.7000","223.0000","1.1000","27.7000","91.0000","0.1000"
"2016-07-03","12","1001.6000","1006.5000","137.0000","0.6000","26.9000","91.0000","0.0000"
"2016-07-03","15","1002.2000","1007.1000","173.0000","0.4000","26.0000","96.0000","0.1000"
"2016-07-03","18","1000.5000","1005.4000","330.0000","0.7000","25.7000","98.0000","0.4000"
"2016-07-03","21","1000.4000","1005.3000","999017.0000","0.0000","25.7000","98.0000","0.0000"
"2016-07-04","0","1000.6000","1005.5000","176.0000","2.0000","26.3000","97.0000","0.0000"
"2016-07-04","3","1000.5000","1005.3000","179.0000","2.1000","31.8000","69.0000","0.0000"
"2016-07-04","6","999.7000","1004.5000","160.0000","1.7000","34.7000","56.0000","0.0000"
"2016-07-04","9","998.8000","1003.6000","287.0000","1.4000","34.8000","55.0000","0.0000"
"2016-07-04","12","1001.1000","1006.0000","340.0000","1.0000","29.7000","78.0000","0.0000"
"2016-07-04","15","1001.1000","1005.9000","188.0000","1.3000","27.8000","79.0000","0.0000"
"2016-07-04","18","1000.8000","1005.6000","188.0000","2.2000","27.7000","80.0000","0.0000"
"2016-07-04","21","1002.8000","1007.6000","261.0000","0.3000","26.5000","87.0000","0.0000"
"2016-07-05","0","1003.9000","1008.7000","205.0000","2.0000","28.9000","78.0000","0.0000"
"2016-07-05","3","1004.7000","1009.5000","122.0000","1.2000","33.2000","62.0000","0.0000"
"2016-07-05","6","1003.7000","1008.5000","192.0000","3.2000","34.8000","53.0000","0.0000"
"2016-07-05","9","1004.4000","1009.3000","334.0000","5.3000","28.7000","74.0000","0.0000"
"2016-07-05","12","1006.7000","1011.6000","287.0000","0.7000","25.7000","91.0000","0.7000"
"2016-07-05","15","1006.8000","1011.7000","224.0000","2.0000","25.0000","93.0000","0.7000"
"2016-07-05","18","1006.5000","1011.3000","205.0000","1.0000","24.7000","96.0000","0.0000"
"2016-07-05","21","1006.8000","1011.7000","229.0000","1.2000","24.6000","96.0000","0.0000"
"2016-07-06","0","1007.5000","1012.4000","188.0000","1.4000","26.0000","90.0000","0.0000"
"2016-07-06","3","1007.5000","1012.4000","183.0000","2.3000","32.0000","63.0000","0.0000"
"2016-07-06","6","1006.4000","1011.2000","98.0000","2.2000","34.7000","54.0000","0.0000"
"2016-07-06","9","1004.8000","1009.6000","94.0000","2.0000","34.2000","54.0000","0.0000"
"2016-07-06","12","1006.0000","1010.9000","348.0000","2.6000","30.5000","76.0000","0.0000"
"2016-07-06","15","1006.4000","1011.2000","326.0000","1.9000","28.4000","84.0000","0.0000"
"2016-07-06","18","1005.5000","1010.3000","302.0000","2.8000","27.3000","92.0000","0.0000"
"2016-07-06","21","1005.8000","1010.6000","311.0000","1.5000","26.9000","93.0000","0.0000"
"2016-07-07","0","1005.8000","1010.6000","160.0000","1.9000","30.4000","72.0000","0.0000"
"2016-07-07","3","1005.9000","1010.7000","276.0000","1.1000","32.0000","63.0000","0.0000"
"2016-07-07","6","1003.7000","1008.5000","336.0000","2.7000","32.4000","69.0000","0.0000"
"2016-07-07","9","1002.5000","1007.3000","76.0000","5.1000","31.5000","68.0000","0.0000"
"2016-07-07","12","1003.4000","1008.2000","108.0000","1.4000","28.2000","71.0000","0.0000"
"2016-07-07","15","1002.9000","1007.7000","47.0000","2.1000","28.0000","84.0000","0.0000"
"2016-07-07","18","1002.4000","1007.2000","63.0000","2.1000","27.1000","89.0000","0.0000"
"2016-07-07","21","1002.1000","1006.9000","24.0000","1.8000","26.8000","90.0000","0.0000"
